Departure_Port,Arrival_Port,Sail_Date,Sail_Time,Ship_Code,Total_Bookings,Loaded_Bookings,NoShow_Count,Booked_Count,CheckedIn_Count,Cancelled_Count,Total_Reserved_Meter,Total_Loaded_Meter,Total_Reserved_Heads,Total_Loaded_Heads,Total_Meter,Total_Head,NoShow_Rate,Capacity_Utilization_Rate,Reservation_Ratio,Overbooked_Flag,Overbooked_Meter,Unused_Capacity_Meter,Voyage_Risk_Category,Wasted_Capacity_Meter,Wasted_Capacity_Rate,Overbooking_Ratio,Overbooking_Extra_Meter,Overbooking_Effectiveness,Utilization_Category,Overbooking_Outcome
Rostock,Trelleborg,2024-02-19,22:00,SHIP_03,332,206,81,12,18,15,4629.8,2729.3,385,261,2100,230,0.2439759036144578,1.2996666666666667,2.2046666666666668,True,2529.8,0.0,Overbooked,0.0,0.0,2.2046666666666668,2529.8,0.5895071061384941,High Utilization,Successful Overbooking
Rostock,Trelleborg,2024-09-24,14:00,SHIP_03,320,200,86,9,17,8,4377.2,2666.3,364,240,2100,230,0.26875,1.2696666666666667,2.084380952380952,True,2277.2,0.0,Overbooked,0.0,0.0,2.084380952380952,2277.2,0.6091336927716349,High Utilization,Successful Overbooking
Klaipeda,Rostock,2025-05-04,06:00,SHIP_03,302,187,76,7,19,13,4366.6,2621.6,348,234,2100,230,0.2516556291390728,1.2483809523809524,2.079333333333333,True,2266.6000000000004,0.0,Overbooked,0.0,0.0,2.079333333333333,2266.6000000000004,0.6003755782531031,High Utilization,Successful Overbooking
Klaipeda,Rostock,2024-09-05,10:00,SHIP_02,298,176,83,4,22,13,4228.2,2409.2,335,222,2000,220,0.2785234899328859,1.2046,2.1141,True,2228.2,0.0,Overbooked,0.0,0.0,2.1141,2228.2,0.5697932926540845,High Utilization,Successful Overbooking
Rostock,Trelleborg,2024-08-01,06:00,SHIP_02,308,197,75,11,14,11,4138.4,2556.8,358,244,2000,220,0.2435064935064935,1.2784,2.0692,True,2138.4,0.0,Overbooked,0.0,0.0,2.0692,2138.4,0.6178233133578196,High Utilization,Successful Overbooking
Travemünde,Klaipeda,2024-11-27,10:00,SHIP_05,327,199,75,20,23,10,4537.6,2692.8,378,256,2400,280,0.2293577981651376,1.122,1.8906666666666667,True,2137.6000000000004,0.0,Overbooked,0.0,0.0,1.8906666666666667,2137.6000000000004,0.593441466854725,High Utilization,Successful Overbooking
Travemünde,Trelleborg,2024-04-26,10:00,SHIP_03,294,175,79,11,18,11,4149.7,2435.3,339,225,2100,230,0.2687074829931973,1.1596666666666668,1.976047619047619,True,2049.7,0.0,Overbooked,0.0,0.0,1.976047619047619,2049.7,0.5868617008458443,High Utilization,Successful Overbooking
Rostock,Trelleborg,2025-06-13,06:00,SHIP_05,297,173,76,15,22,11,4319.1,2411.0,341,224,2400,280,0.2558922558922559,1.0045833333333334,1.7996250000000005,True,1919.1000000000004,0.0,Overbooked,0.0,0.0,1.7996250000000005,1919.1000000000004,0.5582181472992058,High Utilization,Successful Overbooking
Klaipeda,Rostock,2024-03-07,10:00,SHIP_05,311,180,82,20,19,10,4206.5,2392.7,368,226,2400,280,0.2636655948553054,0.9969583333333332,1.752708333333333,True,1806.5,7.300000000000182,Overbooked,7.300000000000182,0.0030416666666667,1.752708333333333,1806.5,0.5688101747295852,High Utilization,Successful Overbooking
Trelleborg,Travemünde,2024-07-05,18:00,SHIP_01,261,158,65,14,17,7,3525.1,2138.6,296,196,1800,180,0.2490421455938697,1.1881111111111111,1.9583888888888887,True,1725.1,0.0,Overbooked,0.0,0.0,1.9583888888888887,1725.1,0.6066778247425605,High Utilization,Successful Overbooking
Trelleborg,Rostock,2025-11-20,06:00,SHIP_05,291,181,75,9,15,11,4113.4,2524.1,342,231,2400,280,0.2577319587628865,1.0517083333333332,1.7139166666666663,True,1713.3999999999996,0.0,Overbooked,0.0,0.0,1.7139166666666663,1713.3999999999996,0.6136286283852774,High Utilization,Successful Overbooking
Travemünde,Klaipeda,2025-08-08,08:00,SHIP_03,277,165,74,16,18,4,3805.8,2248.0,321,213,2100,230,0.2671480144404332,1.0704761904761906,1.8122857142857145,True,1705.8000000000002,0.0,Overbooked,0.0,0.0,1.8122857142857145,1705.8000000000002,0.5906773871459351,High Utilization,Successful Overbooking
Trelleborg,Swinoujscie,2025-10-21,08:00,SHIP_01,237,145,65,6,9,12,3416.0,2059.0,277,182,1800,180,0.2742616033755274,1.143888888888889,1.8977777777777776,True,1616.0,0.0,Overbooked,0.0,0.0,1.8977777777777776,1616.0,0.602751756440281,High Utilization,Successful Overbooking
Rostock,Klaipeda,2024-05-18,18:00,SHIP_03,267,163,64,14,17,9,3715.4,2165.4,301,204,2100,230,0.2397003745318352,1.0311428571428571,1.7692380952380953,True,1615.4,0.0,Overbooked,0.0,0.0,1.7692380952380953,1615.4,0.5828174624535716,High Utilization,Successful Overbooking
